City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Grand Gaube,MU,86.4,overcast clouds,-20.0064,57.6608,Coco Villa
625,Aflao,TG,73.53,few clouds,6.116,1.1914,Liberty Hotel
627,Cape Coast,GH,80.28,scattered clouds,5.1053,-1.2466,Mighty Victory Hotel
634,Sampit,ID,80.82,overcast clouds,-2.5333,112.95,Hotel Sultan
636,Muscat,OM,76.53,broken clouds,23.6139,58.5922,البطاشي
639,San Lorenzo,PY,76.14,clear sky,-25.3333,-57.5333,Hotel del Sur
641,Sassandra,CI,77.23,few clouds,4.95,-6.0833,Hotel Le Pollet
653,Richards Bay,ZA,79.99,clear sky,-28.783,32.0377,Protea Hotel
658,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Hotel de Inhambane
673,Tecolutla,MX,70.47,scattered clouds,20.4833,-97.0167,Hotel Albri by Rotamundos
676,Along,IN,75.81,few clouds,28.1667,94.7667,Hotel Toshi Palace
683,Rantepao,ID,75.07,overcast clouds,-2.9701,119.8978,Hotel Indra Toraja
684,Biltine,TD,71.76,broken clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
