City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Naryan-Mar,RU,67.6713,53.087,-0.87,95,100,6.49,overcast clouds
322,Batticaloa,LK,7.7102,81.6924,81.03,78,99,13.85,overcast clouds
323,Concordia,AR,-31.393,-58.0209,72.18,50,15,8.66,few clouds
324,Nayoro,JP,44.3506,142.4578,32.16,97,100,9.28,snow
325,Okhotsk,RU,59.3833,143.3,13.19,73,100,14.2,overcast clouds
326,Palmas Bellas,PA,9.2319,-80.0867,75.25,88,73,7.25,light rain
327,Alofi,NU,-19.0595,-169.9187,78.69,89,0,4.61,clear sky
328,Hoshangabad,IN,22.75,77.7167,85.28,31,0,6.85,clear sky
329,Arrecife,ES,28.963,-13.5477,62.58,88,20,9.22,few clouds
330,Adrar,MR,20.5022,-10.0711,56.93,32,0,11.5,clear sky
331,Sinfra,CI,6.6167,-5.9167,72.07,41,46,1.19,scattered clouds
332,Krasnogvardeyskiy,RU,57.3793,62.3195,29.59,86,100,9.8,overcast clouds
333,Gaozhou,CN,21.9392,110.8461,72.64,19,8,4.54,clear sky
334,Chakwal,PK,32.9334,72.8585,62.51,18,1,3.0,clear sky
335,San Jose,US,37.3394,-121.895,53.91,84,75,1.99,haze
336,Fukue,JP,32.6881,128.8419,35.96,87,75,13.8,broken clouds
337,Buala,SB,-8.145,159.5921,79.86,86,100,5.39,light rain
338,Kudahuvadhoo,MV,2.6708,72.8944,80.33,78,26,10.74,scattered clouds
339,Kolokani,ML,13.5728,-8.0339,64.29,23,66,13.22,broken clouds
340,Killybegs,IE,54.6333,-8.45,42.51,89,100,17.94,overcast clouds
341,New Albany,US,38.2856,-85.8241,2.01,81,100,23.02,overcast clouds
342,Lahaina,US,20.8783,-156.6825,74.8,78,0,9.35,clear sky
343,Kjollefjord,NO,70.9457,27.3465,26.65,80,40,6.91,light snow
344,Tiksi,RU,71.6872,128.8694,-13.9,92,9,2.89,clear sky
345,Aykhal,RU,66.0,111.5,-3.73,99,100,5.77,overcast clouds
346,Beeville,US,28.4008,-97.7483,25.29,42,100,18.41,overcast clouds
347,Half Moon Bay,US,37.4636,-122.4286,51.87,89,75,4.61,mist
